id,Note,observed_on_string,observed_on,time_observed_at,time_zone,out_of_range,user_id,user_login,created_at,updated_at,quality_grade,license,url,hyperlink,image_url,sound_url,tag_list,description,id_please,num_identification_agreements,num_identification_disagreements,captive_cultivated,oauth_application_id,place_guess,latitude,longitude,positional_accuracy,geoprivacy,taxon_geoprivacy,coordinates_obscured,positioning_method,positioning_device,species_guess,scientific_name,common_name,iconic_taxon_name,taxon_id,field:eating: (interaction),Prey item,Status,Class,Order,suborder,Family,subfamily,Genus,Prey.check,Check genus,Check sp.,Check (?)
9364266,eating,2018/01/03 9:36 PM SAST,03/01/2018,2018-01-03 19:36:00 UTC,Africa/Johannesburg,,689073,jouberth,2018-01-04 17:47:47 UTC,2018-01-05 08:23:33 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/9364266,https://www.inaturalist.org/observations/9364266,https://static.inaturalist.org/photos/12713549/medium.jpeg?1515087751,,,,FALSE,4,0,FALSE,,"Bosveld, South Africa",-25.26096833,28.46506833,,,,FALSE,,,Egg-eating Snake,Dasypeltis scabra,Egg-eating Snake,Reptilia,26717,,,Removed,,,,,,,,,,
9395773,S-Afr-Interactions (8-1-20),12/31/2017,12/31/2017,,Africa/Johannesburg,,472854,florem,2018-01-07 19:34:36 UTC,2018-04-20 03:47:10 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/9395773,https://www.inaturalist.org/observations/9395773,https://static.inaturalist.org/photos/12768336/medium.jpg?1515353684,,,,FALSE,2,0,FALSE,3,"Runde, , Province de Masvingo, ZW",-21.28347155,31.91358985,45,,,FALSE,,,Brown House Snake,Boaedon capensis,Cape House Snake,Reptilia,539396,https://www.inaturalist.org/observations/9396115,Hemidactylus mabouia,Included,Reptilia,Squamata,Sauria,Gekkonidae,,Hemidactylus,1,1,0,0
9419971,eating,Fri Feb 03 2017 10:50:44 GMT+0200 (GMT+2),03/02/2017,2017-02-03 08:50:44 UTC,Africa/Johannesburg,,371668,willemvzyl,2018-01-09 11:53:49 UTC,2018-01-09 14:36:40 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/9419971,https://www.inaturalist.org/observations/9419971,https://static.inaturalist.org/photos/12799972/medium.jpg?1515498834,,,,FALSE,3,0,FALSE,3,"21 Bateleur Crescent, Blouberg, WC, ZA",-33.82623603,18.51184562,510,,,FALSE,,,Egg-eating Snake,Dasypeltis scabra,Egg-eating Snake,Reptilia,26717,,,Removed,,,,,,,,,,
9467871,eating,2018/01/14 10:34 AM SAST,14/01/2018,2018-01-14 08:34:00 UTC,Africa/Johannesburg,,662724,bushboy,2018-01-14 09:07:18 UTC,2018-01-16 23:03:43 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/9467871,https://www.inaturalist.org/observations/9467871,https://static.inaturalist.org/photos/12883117/medium.jpeg?1515920489,,,"<h3>Sad</h3>
265mm fellow found dead on the garden path. No sign of predation (surprised the Hadedas, other predatory spp didn't eat him). Suspect dogs might have accidentally run over him last night or early this AM on a cat charge, real or imaginary ...
Wonder what he was doing out the ground? We haven't had rain for a week. Juvenile seeking new territory?",FALSE,3,0,FALSE,,"Scottburgh South, Scottburgh, 4180, South Africa",-30.30109143,30.74252486,4,,,FALSE,,,Bibron's Blind Snake,Afrotyphlops bibronii,Bibron's Blind Snake,Reptilia,32696,,,Removed,,,,,,,,,,
9467871,predation,2018/01/14 10:34 AM SAST,14/01/2018,2018-01-14 08:34:00 UTC,Africa/Johannesburg,,662724,bushboy,2018-01-14 09:07:18 UTC,2018-01-16 23:03:43 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/9467871,https://www.inaturalist.org/observations/9467871,https://static.inaturalist.org/photos/12883117/medium.jpeg?1515920489,,,"<h3>Sad</h3>
265mm fellow found dead on the garden path. No sign of predation (surprised the Hadedas, other predatory spp didn't eat him). Suspect dogs might have accidentally run over him last night or early this AM on a cat charge, real or imaginary ...
Wonder what he was doing out the ground? We haven't had rain for a week. Juvenile seeking new territory?",FALSE,3,0,FALSE,,"Scottburgh South, Scottburgh, 4180, South Africa",-30.30109143,30.74252486,4,,,FALSE,,,Bibron's Blind Snake,Afrotyphlops bibronii,Bibron's Blind Snake,Reptilia,32696,,,Removed,,,,,,,,,,
9483841,eating,Mon May 22 2017 19:22:45 GMT+0200 (GMT+2),22/05/2017,2017-05-22 17:22:45 UTC,Africa/Johannesburg,,748046,val11,2018-01-15 18:10:27 UTC,2018-04-20 01:01:20 UTC,research,,https://www.inaturalist.org/observations/9483841,https://www.inaturalist.org/observations/9483841,https://static.inaturalist.org/photos/12911039/medium.jpg?1516039968,,,"Cape house snake eating a skink 
",FALSE,3,0,FALSE,3,"Polana Caniço B, Maputo, Maputo, MZ",-25.94071954,32.61346881,49,,,FALSE,,,Cape House Snake,Boaedon capensis,Cape House Snake,Reptilia,539396,,Trachylepis sp.,Included,Reptilia,Squamata,Sauria,Scincidae,,Trachylepis,0,1,1,0
9919419,S-Afr-Interactions (8-1-20),2018/02/17 3:51 PM +0200,2/17/2018,2018-02-17 13:51:00 UTC,Africa/Johannesburg,,680037,iawmacdonald,2018-02-19 13:59:15 UTC,2019-12-25 15:20:19 UTC,needs_id,CC-BY-NC,https://www.inaturalist.org/observations/9919419,https://www.inaturalist.org/observations/9919419,https://static.inaturalist.org/photos/13607732/medium.jpg?1519048340,,,Following some very heavy rains the large purple-grey snake battled the smaller more fawn coloured snake. Observers: Glenda & Gary Neil,FALSE,3,0,FALSE,,"Kube Yini Pvt Game Reserve Lodge No 50, South Africa",-27.80892187,32.24031061,,,,FALSE,,,Purple-glossed Snakes,Amblyodipsas polylepis,Purple-glossed Snakes,Reptilia,26466,https://www.inaturalist.org/observations/9927594,Acontias plumbeus,Included,Reptilia,Squamata,Sauria,Scincidae,Acontinae,Acontias,1,1,0,0
9975981,S-Afr-Interactions (8-1-20),2018/02/22 5:43 PM SAST,2/22/2018,2018-02-22 15:43:00 UTC,Africa/Johannesburg,TRUE,305994,robert_taylor,2018-02-24 10:13:36 UTC,2019-01-23 19:17:45 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/9975981,https://www.inaturalist.org/observations/9975981,https://static.inaturalist.org/photos/13707533/medium.jpeg?1519466852,,,This observation is for the common purple-glassed snake,FALSE,4,0,FALSE,,"Ngamiland South District, Botswana",-19.57613667,23.38014667,,,,FALSE,,,Common Purple-glossed Snake,Amblyodipsas polylepis,Common Purple-glossed Snake,Reptilia,63995,https://www.inaturalist.org/observations/9975980,Amphisbaenidae,Included,Reptilia,Squamata,Sauria,Amphisbaenidae,,,0,0,0,0
10030449,eating,Sat Feb 03 2018 07:44:43 GMT+0200 (GMT+2),03/02/2018,2018-02-03 05:44:43 UTC,Africa/Johannesburg,FALSE,758139,nats358,2018-02-28 10:06:04 UTC,2018-11-18 00:12:54 UTC,research,,https://www.inaturalist.org/observations/10030449,https://www.inaturalist.org/observations/10030449,https://static.inaturalist.org/photos/13796842/medium.jpg?1519812396,,,,FALSE,2,0,FALSE,3,"Karoo, ZA-WC-CK, ZA-WC, ZA",-32.30186995,22.16983742,5,,,FALSE,,,Egg-eating Snake,Dasypeltis scabra,Egg-eating Snake,Reptilia,26717,,,Removed,,,,,,,,,,
10243600,S-Afr-Interactions (8-1-20),2018/03/15 10:48 AM SAST,3/15/2018,2018-03-15 08:48:00 UTC,Africa/Johannesburg,,662724,bushboy,2018-03-15 09:11:20 UTC,2020-01-05 03:45:49 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/10243600,https://www.inaturalist.org/observations/10243600,https://static.inaturalist.org/photos/14166607/medium.jpg?1521104771,,,"<h3>Smooth as an oiled boob</h3>
No venom, no constriction, no problem.
Frog at: https://www.inaturalist.org/observations/10243618
Great pics courtesy of Genie Retief",FALSE,8,0,FALSE,,"Marloth Park, South Africa",-25.34592405,31.77773416,4,,,FALSE,,,Spotted Bush Snake,Philothamnus semivariegatus,Spotted Bush Snake,Reptilia,29073,https://www.inaturalist.org/observations/10243618,Chiromantis xerampelina,Included,Amphibia,Anura,,Rhacophoridae,,Chiromantis,1,1,0,0
10323652,S-Afr-Interactions (8-1-20),2018/03/16 7:15 AM SAST,3/16/2018,2018-03-16 05:15:00 UTC,Africa/Johannesburg,TRUE,528390,sallyslak,2018-03-20 11:08:34 UTC,2018-03-20 19:39:25 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/10323652,https://www.inaturalist.org/observations/10323652,https://static.inaturalist.org/photos/14308863/medium.jpg?1521543958,,,,FALSE,4,0,FALSE,,"South Cape DC, South Africa",-33.96527778,22.08111111,,,,FALSE,,,Cape Wolf Snake,Lycophidion capense,Cape Wolf Snake,Reptilia,29508,https://www.inaturalist.org/observations/10323655,Trachylepis sp.,Included,Reptilia,Squamata,Sauria,Scincidae,,Trachylepis,0,1,1,0
10679208,eating,2018/03/27 10:25 AM CAT,27/03/2018,2018-03-27 09:25:00 UTC,West Central Africa,,632684,shirleyhitschmann,2018-04-07 15:17:41 UTC,2018-04-19 19:15:39 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/10679208,https://www.inaturalist.org/observations/10679208,https://static.inaturalist.org/photos/14909667/medium.jpeg?1523113959,,,this snake was found in someones garden eating what was described as a blue headed agama which is most likely the southern tree agama - the photos were taken after it was removed,FALSE,2,0,FALSE,,"Avenues, Mutare, Zimbabwe",-18.96508254,32.67501957,66,,,FALSE,,,Cape House Snake,Boaedon capensis,Cape House Snake,Reptilia,539396,,Meal,Included,,,,,,,0,0,0,0
10800170,prey,31/03/2010,31/03/2010,,Africa/Johannesburg,FALSE,681461,prix_burgoyne,2011-10-28 06:44:10 UTC,2018-04-19 16:40:27 UTC,research,,https://www.inaturalist.org/observations/10800170,https://www.inaturalist.org/observations/10800170,https://static.inaturalist.org/photos/15117915/medium.jpg?1523513032,,rural,<h3>Female night adder preying on juvenile bullfrog Vlooikop</h3><br>Small snake in seep/wetland area of grassland consuming juvenile bullfrog.,FALSE,7,1,FALSE,,"R25, Bronkhorstspruit: This is normally not a seepage area but due to much rain that year water was oozing out and many frogs were present.",-25.68808,28.84621,1,,,FALSE,,,Rhombic Night Adder,Causus rhombeatus,Rhombic Night Adder,Reptilia,30820,,Pyxicephalus sp.,Included,Amphibia,Anura,,Pyxicephalidae,,Pyxicephalus,0,1,1,0
10805130,S-Afr-Interactions (8-1-20),4/27/2012,4/27/2012,,Africa/Johannesburg,,129251,alexanderr,2012-07-02 17:18:23 UTC,2019-02-04 16:53:20 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/10805130,https://www.inaturalist.org/observations/10805130,https://static.inaturalist.org/photos/15127977/medium.jpg?1523527874,,Roadkill,<h3>Cape Cobra</h3><br>,FALSE,10,0,FALSE,,Anysberg,-33.3573,20.793917,1,,,FALSE,,,Cape Cobra,Naja nivea,Cape Cobra,Reptilia,30487,https://www.inaturalist.org/observations/11011909,Sclerophrys capensis,Included,Amphibia,Anura,,Bufonidae,,Sclerophrys,1,1,0,0
10818628,eating,06/01/2013,06/01/2013,,Africa/Johannesburg,,720184,chopin,2013-01-06 16:08:41 UTC,2018-04-12 18:04:59 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/10818628,https://www.inaturalist.org/observations/10818628,https://static.inaturalist.org/photos/15154435/medium.jpg?1523555052,,,"<h3>Fat Slugeater</h3><br>Around 300mm. Small head. Quite plump, it must have been eating some of the many snails in my garden.",FALSE,4,0,FALSE,,Noordhoek suburb,-34.1014,18.3866,1,,,FALSE,,,Duberria lutrix lutrix,Duberria lutrix lutrix,Southern Slugeater,Reptilia,30329,,,Removed,,,,,,,,,,
10824344,predation,27/03/2012,27/03/2012,,Africa/Johannesburg,,772183,hwittridge,2012-03-27 11:17:33 UTC,2018-06-06 04:02:57 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/10824344,https://www.inaturalist.org/observations/10824344,https://static.inaturalist.org/photos/19221754/medium.jpg?1528256287,,,"<h3>Crossed whip snake</h3><br>Approximately 60cm, very healthy except old damage to tail (possible predation attempt)",FALSE,7,0,FALSE,,Steenbras Nature Reserve,-34.24154,18.85562,1,,,FALSE,,,Cross-marked Sand Snake,Psammophis crucifer,Cross-marked Sand Snake,Reptilia,28985,,,Removed,,,,,,,,,,
10843721,S-Afr-Interactions (8-1-20),09/11/2012,09/11/2012,,Africa/Johannesburg,,676988,karoopixie,2012-09-11 07:15:54 UTC,2018-10-24 07:06:02 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/10843721,https://www.inaturalist.org/observations/10843721,https://static.inaturalist.org/photos/15204123/medium.jpg?1523600392,,"Spring First, rural, First Record for Season","<h3>The magnificent things one finds on one^s doorstep - Montagu WCape</h3><br>A tad chilly in this corner, so s/he hasn^t moved yet, and remains undisturbed by comings and goings...<br><br>First one of the season.",FALSE,11,0,FALSE,,"Cape Winelands, ZA-WC, ZA",-33.63419941,20.19949293,1,obscured,,TRUE,,,Bitis arietans arietans,Bitis arietans,Puffadder,Reptilia,115431,,,Removed,,,,,,,,,,
10859745,S-Afr-Interactions (8-1-20),09/09/2013,09/09/2013,,Africa/Johannesburg,FALSE,97441,ryanvanhuyssteen,2013-10-07 08:48:30 UTC,2018-04-13 16:37:04 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/10859745,https://www.inaturalist.org/observations/10859745,https://static.inaturalist.org/photos/15237012/medium.jpg?1523636944,,,<h3>Western Stripe-bellied Sandsnake</h3><br>,FALSE,1,0,FALSE,,"Makuleke area, Kruger National Park",-22.36,31.15,1100,,,FALSE,,,Stripe-bellied Sand Snake,Psammophis subtaeniatus,Stripe-bellied Sand Snake,Reptilia,28963,https://www.inaturalist.org/observations/10859756,Trachylepis varia,Included,Reptilia,Squamata,Sauria,Scincidae,,Trachylepis,1,1,0,0
10867262,swallow,13/06/2005,13/06/2005,,Africa/Johannesburg,,662724,bushboy,2013-05-15 08:55:03 UTC,2018-04-13 19:36:55 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/10867262,https://www.inaturalist.org/observations/10867262,https://static.inaturalist.org/photos/15252174/medium.jpg?1523647154,,urban,"<h3>eggeater, brown</h3><br><p>Why I filed only one photo of this placid little snake I do not know. Locally abundant for a few months (presumably a hatched clutch), they soon disappeared - not least many falling prey to Hadedas which could not quite swallow them, but pecked and beat them to death while they were still torpid in the early mornings and left the 30 cm corpses on the driveway.</p>",FALSE,4,0,FALSE,,"Edward Ave, Uvongo",-30.8349,30.3868,1,,,FALSE,,,Southern Brown Egg Eater,Dasypeltis inornata,Southern Brown Egg Eater,Reptilia,26730,,,Removed,,,,,,,,,,
10867262,prey,13/06/2005,13/06/2005,,Africa/Johannesburg,,662724,bushboy,2013-05-15 08:55:03 UTC,2018-04-13 19:36:55 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/10867262,https://www.inaturalist.org/observations/10867262,https://static.inaturalist.org/photos/15252174/medium.jpg?1523647154,,urban,"<h3>eggeater, brown</h3><br><p>Why I filed only one photo of this placid little snake I do not know. Locally abundant for a few months (presumably a hatched clutch), they soon disappeared - not least many falling prey to Hadedas which could not quite swallow them, but pecked and beat them to death while they were still torpid in the early mornings and left the 30 cm corpses on the driveway.</p>",FALSE,4,0,FALSE,,"Edward Ave, Uvongo",-30.8349,30.3868,1,,,FALSE,,,Southern Brown Egg Eater,Dasypeltis inornata,Southern Brown Egg Eater,Reptilia,26730,,,Removed,,,,,,,,,,
