Column1,preyID,preyPhylum,preyClass,preyOrder,preyFamily,preyGenus,preyspecies
Duttaphrynus melanostictus,Duttaphrynus melanostictus,Chordata,Amphibia,Anura,Bufonidae,Duttaphrynus,Duttaphrynus melanostictus
Chiroptera,Chiroptera,Chordata,Mammalia,Chiroptera,NA,NA,NA
Anolis uniformis,Anolis uniformis,Chordata,Reptilia,Squamata,Dactyloidae,Anolis,Anolis uniformis
Chamaeleo dilepis,Chamaeleo dilepis,Chordata,Reptilia,Squamata,Chamaeleonidae,Chamaeleo,Chamaeleo dilepis
Ploceus cucullatus,Ploceus cucullatus,Chordata,Aves,Passeriformes,Ploceidae,Ploceus,Ploceus cucullatus
Bufonidae,Bufonidae,Chordata,Amphibia,Anura,Bufonidae,NA,NA
Sylvilagus floridanus,Sylvilagus floridanus,Chordata,Mammalia,Lagomorpha,Leporidae,Sylvilagus,Sylvilagus floridanus
Gallus gallus domesticus,Gallus gallus domesticus,Chordata,Aves,Galliformes,Phasianidae,Gallus,Gallus gallus
Mimus,Mimus,Chordata,Aves,Passeriformes,Mimidae,Mimus,NA
Arvicolinae,Arvicolinae,Chordata,Mammalia,Rodentia,Cricetidae,NA,NA
Actinopterygii,Actinopterygii,Chordata,Actinopterygii,NA,NA,NA,NA
Hemidactylus mercatorius,Hemidactylus mercatorius,Chordata,Reptilia,Squamata,Gekkonidae,Hemidactylus,Hemidactylus mercatorius
Anaxyrus americanus,Anaxyrus americanus,Chordata,Amphibia,Anura,Bufonidae,Anaxyrus,Anaxyrus americanus
Hylambates verrucosus,Hylambates verrucosus,Chordata,Amphibia,Anura,Hyperoliidae,Hylambates,Hylambates verrucosus
Pituophis catenifer,Pituophis catenifer,Chordata,Reptilia,Squamata,Colubridae,Pituophis,Pituophis catenifer
Salmo trutta fario,Salmo trutta fario,Chordata,Actinopterygii,Salmoniformes,Salmonidae,Salmo,Salmo trutta
Rana boylii,Rana boylii,Chordata,Amphibia,Anura,Ranidae,Rana,Rana boylii
Hirundo rustica,Hirundo rustica,Chordata,Aves,Passeriformes,Hirundinidae,Hirundo,Hirundo rustica
Ictaluridae,Ictaluridae,Chordata,Actinopterygii,Siluriformes,Ictaluridae,NA,NA
Sauria,Sauria,Chordata,Reptilia,Squamata,NA,NA,NA
Muridae,Muridae,Chordata,Mammalia,Rodentia,Muridae,NA,NA
Pelophylax ridibundus,Pelophylax ridibundus,Chordata,Amphibia,Anura,Ranidae,Pelophylax,Pelophylax ridibundus
Acris,Acris,Chordata,Amphibia,Anura,Hylidae,Acris,NA
Tarentola mauritanica,Tarentola mauritanica,Chordata,Reptilia,Squamata,Phyllodactylidae,Tarentola,Tarentola mauritanica
Diploderma polygonatum,Diploderma polygonatum,Chordata,Reptilia,Squamata,Draconinae,Diploderma,Diploderma polygonatum
Dicamptodon ensatus,Dicamptodon ensatus,Chordata,Amphibia,Caudata,Ambystomatidae,Dicamptodon,Dicamptodon ensatus
Ariolimax,Ariolimax,Mollusca,Gastropoda,Stylommatophora,Arionidae,Ariolimax,NA
Lithobates sphenocephalus,Lithobates sphenocephalus,Chordata,Amphibia,Anura,Ranidae,Lithobates,Lithobates sphenocephalus
Iguanidae,Iguanidae,Chordata,Reptilia,Squamata,Iguanidae,NA,NA
Dipodomys,Dipodomys,Chordata,Mammalia,Rodentia,Heteromyidae,Dipodomys,NA
Ctenosaura pectinata,Ctenosaura pectinata,Chordata,Reptilia,Squamata,Iguanidae,Ctenosaura,Ctenosaura pectinata
Orthoptera,Orthoptera,Arthropoda,Insecta,Orthoptera,NA,NA,NA
Anolis sagrei,Anolis sagrei,Chordata,Reptilia,Squamata,Dactyloidae,Anolis,Anolis sagrei
Vireo bellii pusillus,Vireo bellii pusillus,Chordata,Aves,Passeriformes,Vireonidae,Vireo,Vireo bellii
Chondrodactylus turneri,Chondrodactylus turneri,Chordata,Reptilia,Squamata,Gekkonidae,Chondrodactylus,Chondrodactylus turneri
Opheodrys aestivus,Opheodrys aestivus,Chordata,Reptilia,Squamata,Colubridae,Opheodrys,Opheodrys aestivus
Uta stansburiana,Uta stansburiana,Chordata,Reptilia,Squamata,Iguanidae,Uta,Uta stansburiana
Lithobates berlandieri,Lithobates berlandieri,Chordata,Amphibia,Anura,Ranidae,Lithobates,Lithobates berlandieri
Elgaria multicarinata,Elgaria multicarinata,Chordata,Reptilia,Squamata,Anguidae,Elgaria,Elgaria multicarinata
Crotalus oreganus,Crotalus oreganus,Chordata,Reptilia,Squamata,Viperidae,Crotalus,Crotalus oreganus
Dicroglossidae,Dicroglossidae,Chordata,Amphibia,Anura,Dicroglossidae,NA,NA
Crotalus oreganus helleri,Crotalus oreganus helleri,Chordata,Reptilia,Squamata,Viperidae,Crotalus,Crotalus oreganus
Aves,Aves,Chordata,Aves,NA,NA,NA,NA
Calotes,Calotes,Chordata,Reptilia,Squamata,Agamidae,Calotes,NA
Vespertilionidae,Vespertilionidae,Chordata,Mammalia,Chiroptera,Vespertilionidae,NA,NA
Ranidae,Ranidae,Chordata,Amphibia,Anura,Ranidae,NA,NA
Lithobates catesbeianus,Lithobates catesbeianus,Chordata,Amphibia,Anura,Ranidae,Lithobates,Lithobates catesbeianus
Ptychadena mascareniensis,Ptychadena mascareniensis,Chordata,Amphibia,Anura,Ptychadenidae,Ptychadena,Ptychadena mascareniensis
Lithobates clamitans,Lithobates clamitans,Chordata,Amphibia,Anura,Ranidae,Lithobates,Lithobates clamitans
Dipodomys merriami,Dipodomys merriami,Chordata,Mammalia,Rodentia,Heteromyidae,Dipodomys,Dipodomys merriami
Pelophylax chosenicus,Pelophylax chosenicus,Chordata,Amphibia,Anura,Ranidae,Pelophylax,Pelophylax chosenicus
Sciurus variegatoides,Sciurus variegatoides,Chordata,Mammalia,Rodentia,Sciuridae,Sciurus,Sciurus variegatoides
Anaxyrus cognatus,Anaxyrus cognatus,Chordata,Amphibia,Anura,Bufonidae,Anaxyrus,Anaxyrus cognatus
Lacerta bilineata,Lacerta bilineata,Chordata,Reptilia,Squamata,Lacertidae,Lacerta,Lacerta bilineata
Sceloporus,Sceloporus,Chordata,Reptilia,Squamata,Iguanidae,Sceloporus,NA
Necturus maculosus,Necturus maculosus,Chordata,Amphibia,Caudata,Proteidae,Necturus,Necturus maculosus
Pseudacris sierra,Pseudacris sierra,Chordata,Amphibia,Anura,Hylidae,Pseudacris,Pseudacris sierra
Bufo spinosus,Bufo spinosus,Chordata,Amphibia,Anura,Bufonidae,Bufo,Bufo spinosus
Colubridae,Colubridae,Chordata,Reptilia,Squamata,Colubridae,NA,NA
Anaxyrus boreas,Anaxyrus boreas,Chordata,Amphibia,Anura,Bufonidae,Anaxyrus,Anaxyrus boreas
Sciuridae,Sciuridae,Chordata,Mammalia,Rodentia,Sciuridae,NA,NA
Furcifer verrucosus,Furcifer verrucosus,Chordata,Reptilia,Squamata,Chamaeleonidae,Furcifer,Furcifer verrucosus
Agalychnis dacnicolor,Agalychnis dacnicolor,Chordata,Amphibia,Anura,Phyllomedusidae,Agalychnis,Agalychnis dacnicolor
Lepomis megalotis,Lepomis megalotis,Chordata,Actinopterygii,Perciformes,Centrarchidae,Lepomis,Lepomis megalotis
Diadophis punctatus,Diadophis punctatus,Chordata,Reptilia,Squamata,Colubridae,Diadophis,Diadophis punctatus
Leiothlypis celata,Leiothlypis celata,Chordata,Aves,Passeriformes,Parulidae,Leiothlypis,Leiothlypis celata
Rana temporaria,Rana temporaria,Chordata,Amphibia,Anura,Ranidae,Rana,Rana temporaria
Astacoidea,Astacoidea,Arthropoda,Malacostraca,Decapoda,NA,NA,NA
Leptobrachium liui,Leptobrachium liui,Chordata,Amphibia,Anura,Megophryidae,Leptobrachium,Leptobrachium liui
Caudata,Caudata,Chordata,Amphibia,Caudata,NA,NA,NA
Salamandra infraimmaculata,Salamandra infraimmaculata,Chordata,Amphibia,Caudata,Salamandridae,Salamandra,Salamandra infraimmaculata
Phaethornis longirostris,Phaethornis longirostris,Chordata,Aves,Apodiformes,Trochilidae,Phaethornis,Phaethornis longirostris
Eulemur fulvus,Eulemur fulvus,Chordata,Mammalia,Primates,Lemuridae,Eulemur,Eulemur fulvus
Passeriformes,Passeriformes,Chordata,Aves,Passeriformes,NA,NA,NA
Bufo bankorensis,Bufo bankorensis,Chordata,Amphibia,Anura,Bufonidae,Bufo,Bufo bankorensis
Zenaida macroura,Zenaida macroura,Chordata,Aves,Columbiformes,Columbidae,Zenaida,Zenaida macroura
Pholidae,Pholidae,Chordata,Actinopterygii,Perciformes,Pholidae,NA,NA
Ameiurus nebulosus,Ameiurus nebulosus,Chordata,Actinopterygii,Siluriformes,Ictaluridae,Ameiurus,Ameiurus nebulosus
Salmonidae,Salmonidae,Chordata,Actinopterygii,Salmoniformes,Salmonidae,NA,NA
Thamnophis cyrtopsis,Thamnophis cyrtopsis,Chordata,Reptilia,Squamata,Colubridae,Thamnophis,Thamnophis cyrtopsis
Lepomis,Lepomis,Chordata,Actinopterygii,Perciformes,Centrarchidae,Lepomis,NA
Siluriformes,Siluriformes,Chordata,Actinopterygii,Siluriformes,NA,NA,NA
Eleutherodactylus inoptatus,Eleutherodactylus inoptatus,Chordata,Amphibia,Anura,Eleutherodactylidae,Eleutherodactylus,Eleutherodactylus inoptatus
Dipsosaurus dorsalis,Dipsosaurus dorsalis,Chordata,Reptilia,Squamata,Iguanidae,Dipsosaurus,Dipsosaurus dorsalis
Furcifer oustaleti,Furcifer oustaleti,Chordata,Reptilia,Squamata,Chamaeleonidae,Furcifer,Furcifer oustaleti
Podarcis muralis,Podarcis muralis,Chordata,Reptilia,Squamata,Lacertidae,Podarcis,Podarcis muralis
Iguana iguana,Iguana iguana,Chordata,Reptilia,Squamata,Iguanidae,Iguana,Iguana iguana
Polypedates iskandari,Polypedates iskandari,Chordata,Amphibia,Anura,Rhacophoridae,Polypedates,Polypedates iskandari
Osteopilus septentrionalis,Osteopilus septentrionalis,Chordata,Amphibia,Anura,Hylidae,Osteopilus,Osteopilus septentrionalis
Nerodia rhombifer,Nerodia rhombifer,Chordata,Reptilia,Squamata,Colubridae,Nerodia,Nerodia rhombifer
Basiliscus vittatus,Basiliscus vittatus,Chordata,Reptilia,Squamata,Corytophanidae,Basiliscus,Basiliscus vittatus
Salmo,Salmo,Chordata,Actinopterygii,Salmoniformes,Salmonidae,Salmo,NA
Eucometis penicillata,Eucometis penicillata,Chordata,Aves,Passeriformes,Thraupidae,Eucometis,Eucometis penicillata
Geophis hoffmanni,Geophis hoffmanni,Chordata,Reptilia,Squamata,Colubridae,Geophis,Geophis hoffmanni
Oreochromis,Oreochromis,Chordata,Actinopterygii,Perciformes,Cichlidae,Oreochromis,NA
Gerrhosaurus flavigularis,Gerrhosaurus flavigularis,Chordata,Reptilia,Squamata,Gerrhosauridae,Gerrhosaurus,Gerrhosaurus flavigularis
Neotoma bryanti,Neotoma bryanti,Chordata,Mammalia,Rodentia,Cricetidae,Neotoma,Neotoma bryanti
Hemidactylus turcicus,Hemidactylus turcicus,Chordata,Reptilia,Squamata,Gekkonidae,Hemidactylus,Hemidactylus turcicus
Scincidae,Scincidae,Chordata,Reptilia,Squamata,Scincidae,NA,NA
Anguilla anguilla,Anguilla anguilla,Chordata,Actinopterygii,Anguilliformes,Anguillidae,Anguilla,Anguilla anguilla
Limnodynastes peronii,Limnodynastes peronii,Chordata,Amphibia,Anura,Limnodynastidae,Limnodynastes,Limnodynastes peronii
Ariolimax columbianus,Ariolimax columbianus,Mollusca,Gastropoda,Stylommatophora,Arionidae,Ariolimax,Ariolimax columbianus
Bufo bufo,Bufo bufo,Chordata,Amphibia,Anura,Bufonidae,Bufo,Bufo bufo
Rattus,Rattus,Chordata,Mammalia,Rodentia,Muridae,Rattus,NA
Carassius auratus,Carassius auratus,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Carassius,Carassius auratus
Caiman crocodilus,Caiman crocodilus,Chordata,Reptilia,Crocodilia,Alligatoridae,Caiman,Caiman crocodilus
Lithobates,Lithobates,Chordata,Amphibia,Anura,Ranidae,Lithobates,NA
Lithobates sylvaticus,Lithobates sylvaticus,Chordata,Amphibia,Anura,Ranidae,Lithobates,Lithobates sylvaticus
Gekkota,Gekkota,Chordata,Reptilia,Squamata,NA,NA,NA
Vireo,Vireo,Chordata,Aves,Passeriformes,Vireonidae,Vireo,NA
Lithobates palustris,Lithobates palustris,Chordata,Amphibia,Anura,Ranidae,Lithobates,Lithobates palustris
Otospermophilus beecheyi,Otospermophilus beecheyi,Chordata,Mammalia,Rodentia,Sciuridae,Otospermophilus,Otospermophilus beecheyi
Anguilla rostrata,Anguilla rostrata,Chordata,Actinopterygii,Anguilliformes,Anguillidae,Anguilla,Anguilla rostrata
Pituophis catenifer catenifer,Pituophis catenifer catenifer,Chordata,Reptilia,Squamata,Colubridae,Pituophis,Pituophis catenifer
Amphibia,Amphibia,Chordata,Amphibia,NA,NA,NA,NA
Dermophis glandulosus,Dermophis glandulosus,Chordata,Amphibia,Gymnophiona,Dermophiidae,Dermophis,Dermophis glandulosus
Aspidoscelis tigris stejnegeri,Aspidoscelis tigris stejnegeri,Chordata,Reptilia,Squamata,Teiidae,Aspidoscelis,Aspidoscelis tigris
Perca fluviatilis,Perca fluviatilis,Chordata,Actinopterygii,Perciformes,Percidae,Perca,Perca fluviatilis
Acris blanchardi,Acris blanchardi,Chordata,Amphibia,Anura,Hylidae,Acris,Acris blanchardi
Stenodactylus,Stenodactylus,Chordata,Reptilia,Squamata,Gekkonidae,Stenodactylus,NA
Lonchura punctulata,Lonchura punctulata,Chordata,Aves,Passeriformes,Estrildidae,Lonchura,Lonchura punctulata
Storeria dekayi,Storeria dekayi,Chordata,Reptilia,Squamata,Colubridae,Storeria,Storeria dekayi
Hyla,Hyla,Chordata,Amphibia,Anura,Hylidae,Hyla,NA
Ameiurus,Ameiurus,Chordata,Actinopterygii,Siluriformes,Ictaluridae,Ameiurus,NA
Anolis pulchellus,Anolis pulchellus,Chordata,Reptilia,Squamata,Dactyloidae,Anolis,Anolis pulchellus
Ambystoma mavortium,Ambystoma mavortium,Chordata,Amphibia,Caudata,Ambystomatidae,Ambystoma,Ambystoma mavortium
Anolis,Anolis,Chordata,Reptilia,Squamata,Dactyloidae,Anolis,NA
Hemidactylus frenatus,Hemidactylus frenatus,Chordata,Reptilia,Squamata,Gekkonidae,Hemidactylus,Hemidactylus frenatus
Columbidae,Columbidae,Chordata,Aves,Columbiformes,Columbidae,NA,NA
Elgaria,Elgaria,Chordata,Reptilia,Squamata,Anguidae,Elgaria,NA
Zonosaurus,Zonosaurus,Chordata,Reptilia,Squamata,Gerrhosauridae,Zonosaurus,NA
Tamias striatus,Tamias striatus,Chordata,Mammalia,Rodentia,Sciuridae,Tamias,Tamias striatus
Lepomis gibbosus,Lepomis gibbosus,Chordata,Actinopterygii,Perciformes,Centrarchidae,Lepomis,Lepomis gibbosus
Cyprinodon variegatus,Cyprinodon variegatus,Chordata,Actinopterygii,Cyprinodontiformes,Cyprinodontidae,Cyprinodon,Cyprinodon variegatus
Eulemur,Eulemur,Chordata,Mammalia,Primates,Lemuridae,Eulemur,NA
Anolis limifrons,Anolis limifrons,Chordata,Reptilia,Squamata,Dactyloidae,Anolis,Anolis limifrons
Stylommatophora,Stylommatophora,Mollusca,Gastropoda,Stylommatophora,NA,NA,NA
Thamnophis elegans,Thamnophis elegans,Chordata,Reptilia,Squamata,Colubridae,Thamnophis,Thamnophis elegans
Gastropoda,Gastropoda,Mollusca,Gastropoda,NA,NA,NA,NA
Campylorhynchus brunneicapillus,Campylorhynchus brunneicapillus,Chordata,Aves,Passeriformes,Troglodytidae,Campylorhynchus,Campylorhynchus brunneicapillus
Agamidae,Agamidae,Chordata,Reptilia,Squamata,Agamidae,NA,NA
Rana draytonii,Rana draytonii,Chordata,Amphibia,Anura,Ranidae,Rana,Rana draytonii
Atractus werneri,Atractus werneri,Chordata,Reptilia,Squamata,Colubridae,Atractus,Atractus werneri
Lithobates blairi,Lithobates blairi,Chordata,Amphibia,Anura,Ranidae,Lithobates,Lithobates blairi
Philetairus socius,Philetairus socius,Chordata,Aves,Passeriformes,Passeridae,Philetairus,Philetairus socius
Aspidoscelis,Aspidoscelis,Chordata,Reptilia,Squamata,Teiidae,Aspidoscelis,NA
Formicidae,Formicidae,Arthropoda,Insecta,Hymenoptera,Formicidae,NA,NA
Ictidomys parvidens,Ictidomys parvidens,Chordata,Mammalia,Rodentia,Sciuridae,Ictidomys,Ictidomys parvidens
Sclerophrys gutturalis,Sclerophrys gutturalis,Chordata,Amphibia,Anura,Bufonidae,Sclerophrys,Sclerophrys gutturalis
Otospermophilus,Otospermophilus,Chordata,Mammalia,Rodentia,Sciuridae,Otospermophilus,NA
Hemidactylus mabouia,Hemidactylus mabouia,Chordata,Reptilia,Squamata,Gekkonidae,Hemidactylus,Hemidactylus mabouia
Sayornis phoebe,Sayornis phoebe,Chordata,Aves,Passeriformes,Tyrannidae,Sayornis,Sayornis phoebe
Tiliqua scincoides,Tiliqua scincoides,Chordata,Reptilia,Squamata,Scincidae,Tiliqua,Tiliqua scincoides
Crotalus oreganus oreganus,Crotalus oreganus oreganus,Chordata,Reptilia,Squamata,Viperidae,Crotalus,Crotalus oreganus
Acontias plumbeus,Acontias plumbeus,Chordata,Reptilia,Squamata,Scincidae,Acontias,Acontias plumbeus
Cyanocorax beecheii,Cyanocorax beecheii,Chordata,Aves,Passeriformes,Corvidae,Cyanocorax,Cyanocorax beecheii
Kobus leche leche,Kobus leche leche,Chordata,Mammalia,Artiodactyla,Bovidae,Kobus,Kobus leche
Heterodon platirhinos,Heterodon platirhinos,Chordata,Reptilia,Squamata,Colubridae,Heterodon,Heterodon platirhinos
Gonatodes,Gonatodes,Chordata,Reptilia,Squamata,Sphaerodactylidae,Gonatodes,NA
Plethodontohyla,Plethodontohyla,Chordata,Amphibia,Anura,Microhylidae,Plethodontohyla,NA
Polypedates megacephalus,Polypedates megacephalus,Chordata,Amphibia,Anura,Rhacophoridae,Polypedates,Polypedates megacephalus
Agkistrodon contortrix,Agkistrodon contortrix,Chordata,Reptilia,Squamata,Viperidae,Agkistrodon,Agkistrodon contortrix
Ptychadena,Ptychadena,Chordata,Amphibia,Anura,Ptychadenidae,Ptychadena,NA
Anolis equestris,Anolis equestris,Chordata,Reptilia,Squamata,Dactyloidae,Anolis,Anolis equestris
Ortalis wagleri,Ortalis wagleri,Chordata,Aves,Galliformes,Cracidae,Ortalis,Ortalis wagleri
Corvus albus,Corvus albus,Chordata,Aves,Passeriformes,Corvidae,Corvus,Corvus albus
Polypedates braueri,Polypedates braueri,Chordata,Amphibia,Anura,Rhacophoridae,Polypedates,Polypedates braueri
Amphisbaenia,Amphisbaenia,Chordata,Reptilia,Squamata,NA,NA,NA
Zhangixalus schlegelii,Zhangixalus schlegelii,Chordata,Amphibia,Anura,Rhacophoridae,Zhangixalus,Zhangixalus schlegelii
Tracheloptychus madagascariensis,Tracheloptychus madagascariensis,Chordata,Reptilia,Squamata,Gerrhosauridae,Tracheloptychus,Tracheloptychus madagascariensis
Cardinalis cardinalis,Cardinalis cardinalis,Chordata,Aves,Passeriformes,Cardinalidae,Cardinalis,Cardinalis cardinalis
Attila spadiceus,Attila spadiceus,Chordata,Aves,Passeriformes,Tyrannidae,Attila,Attila spadiceus
Pelodryadidae,Pelodryadidae,Chordata,Amphibia,Anura,Pelodryadidae,NA,NA
Phyllomedusa venusta,Phyllomedusa venusta,Chordata,Amphibia,Anura,Phyllomedusidae,Phyllomedusa,Phyllomedusa venusta
Furcifer pardalis,Furcifer pardalis,Chordata,Reptilia,Squamata,Chamaeleonidae,Furcifer,Furcifer pardalis
Bitis arietans,Bitis arietans,Chordata,Reptilia,Squamata,Viperidae,Bitis,Bitis arietans
Sciurus carolinensis,Sciurus carolinensis,Chordata,Mammalia,Rodentia,Sciuridae,Sciurus,Sciurus carolinensis
Teiidae,Teiidae,Chordata,Reptilia,Squamata,Teiidae,NA,NA
Chiromantis xerampelina,Chiromantis xerampelina,Chordata,Amphibia,Anura,Rhacophoridae,Chiromantis,Chiromantis xerampelina
Pavo cristatus,Pavo cristatus,Chordata,Aves,Galliformes,Phasianidae,Pavo,Pavo cristatus
Trachylepis,Trachylepis,Chordata,Reptilia,Squamata,Scincidae,Trachylepis,NA
Mammalia,Mammalia,Chordata,Mammalia,NA,NA,NA,NA
Thamnophis proximus,Thamnophis proximus,Chordata,Reptilia,Squamata,Colubridae,Thamnophis,Thamnophis proximus
Nucras lalandii,Nucras lalandii,Chordata,Reptilia,Squamata,Lacertidae,Nucras,Nucras lalandii
Ptychadena anchietae,Ptychadena anchietae,Chordata,Amphibia,Anura,Ptychadenidae,Ptychadena,Ptychadena anchietae
Trachylepis varia,Trachylepis varia,Chordata,Reptilia,Squamata,Scincidae,Trachylepis,Trachylepis varia
Nucras tessellata,Nucras tessellata,Chordata,Reptilia,Squamata,Lacertidae,Nucras,Nucras tessellata
Strongylopus grayii,Strongylopus grayii,Chordata,Amphibia,Anura,Pyxicephalidae,Strongylopus,Strongylopus grayii
Smaug breyeri,Smaug breyeri,Chordata,Reptilia,Squamata,Cordylidae,Smaug,Smaug breyeri
Acanthocercus atricollis,Acanthocercus atricollis,Chordata,Reptilia,Squamata,Agamidae,Acanthocercus,Acanthocercus atricollis
Rhabdomys pumilio,Rhabdomys pumilio,Chordata,Mammalia,Rodentia,Muridae,Rhabdomys,Rhabdomys pumilio
Aepyceros melampus,Aepyceros melampus,Chordata,Mammalia,Artiodactyla,Bovidae,Aepyceros,Aepyceros melampus
Cornu aspersum,Cornu aspersum,Mollusca,Gastropoda,Stylommatophora,Helicidae,Cornu,Cornu aspersum
Vandijkophrynus gariepensis,Vandijkophrynus gariepensis,Chordata,Amphibia,Anura,Bufonidae,Vandijkophrynus,Vandijkophrynus gariepensis
Bradypodion setaroi,Bradypodion setaroi,Chordata,Reptilia,Squamata,Chamaeleonidae,Bradypodion,Bradypodion setaroi
Amietia fuscigula,Amietia fuscigula,Chordata,Amphibia,Anura,Pyxicephalidae,Amietia,Amietia fuscigula
Passer diffusus stygiceps,Passer diffusus stygiceps,Chordata,Aves,Passeriformes,Passeridae,Passer,Passer diffusus
Agama atra,Agama atra,Chordata,Reptilia,Squamata,Agamidae,Agama,Agama atra
Anolis carolinensis,Anolis carolinensis,Chordata,Reptilia,Squamata,Dactyloidae,Anolis,Anolis carolinensis
Sclerophrys capensis,Sclerophrys capensis,Chordata,Amphibia,Anura,Bufonidae,Sclerophrys,Sclerophrys capensis
Macrelaps microlepidotus,Macrelaps microlepidotus,Chordata,Reptilia,Squamata,Lamprophiidae,Macrelaps,Macrelaps microlepidotus
Xenopus laevis,Xenopus laevis,Chordata,Amphibia,Anura,Pipidae,Xenopus,Xenopus laevis
Trachylepis capensis,Trachylepis capensis,Chordata,Reptilia,Squamata,Scincidae,Trachylepis,Trachylepis capensis
Crotalus atrox,Crotalus atrox,Chordata,Reptilia,Squamata,Viperidae,Crotalus,Crotalus atrox
Boophis,Boophis,Chordata,Amphibia,Anura,Mantellidae,Boophis,NA
Leptodactylus luctator,Leptodactylus luctator,Chordata,Amphibia,Anura,Leptodactylidae,Leptodactylus,Leptodactylus luctator
Gyrinophilus porphyriticus,Gyrinophilus porphyriticus,Chordata,Amphibia,Caudata,Plethodontidae,Gyrinophilus,Gyrinophilus porphyriticus
Pristimantis w-nigrum,Pristimantis w-nigrum,Chordata,Amphibia,Anura,Craugastoridae,Pristimantis,Pristimantis w-nigrum
